run_id,pair_index,order,base,candidate
physical-m4-f6aa2c2-1788238552,0,base-first,297542,899500
physical-m4-f6aa2c2-1788238552,1,candidate-first,294958,355875
physical-m4-f6aa2c2-w02-r1-20260901t165407z,0,candidate-first,288375,257916
physical-m4-f6aa2c2-w02-r1-20260901t165407z,1,base-first,276375,285250
physical-m4-f6aa2c2-w02-r2-20260901t165407z,0,candidate-first,318583,298292
physical-m4-f6aa2c2-w02-r2-20260901t165407z,1,base-first,365667,339625
physical-m4-f6aa2c2-w02-r3-20260901t165407z,0,candidate-first,294125,285000
physical-m4-f6aa2c2-w02-r3-20260901t165407z,1,base-first,290792,316958
physical-m4-f6aa2c2-w02-r4-20260901t165407z,0,candidate-first,305375,304708
physical-m4-f6aa2c2-w02-r4-20260901t165407z,1,base-first,288625,317083
physical-m4-f6aa2c2-w02-r5-20260901t165407z,0,candidate-first,304625,310500
physical-m4-f6aa2c2-w02-r5-20260901t165407z,1,base-first,253833,288334
physical-m4-f6aa2c2-w02-r6-20260901t165407z,0,base-first,286667,315833
physical-m4-f6aa2c2-w02-r6-20260901t165407z,1,candidate-first,290209,284000
physical-m4-f6aa2c2-w02-r7-20260901t165407z,0,candidate-first,293459,301541
physical-m4-f6aa2c2-w02-r7-20260901t165407z,1,base-first,723541,286166
physical-m4-f6aa2c2-w03-r1-20260901t165407z,0,candidate-first,285917,274125
physical-m4-f6aa2c2-w03-r1-20260901t165407z,1,base-first,292625,289625
physical-m4-f6aa2c2-w03-r2-20260901t165407z,0,candidate-first,293666,291750
physical-m4-f6aa2c2-w03-r2-20260901t165407z,1,base-first,280458,296083
physical-m4-f6aa2c2-w03-r3-20260901t165407z,0,base-first,310583,463041
physical-m4-f6aa2c2-w03-r3-20260901t165407z,1,candidate-first,422833,326875
physical-m4-f6aa2c2-w03-r4-20260901t165407z,0,candidate-first,290625,295667
physical-m4-f6aa2c2-w03-r4-20260901t165407z,1,base-first,310334,297875
physical-m4-f6aa2c2-w03-r5-20260901t165407z,0,base-first,285500,323458
physical-m4-f6aa2c2-w03-r5-20260901t165407z,1,candidate-first,289459,292708
physical-m4-f6aa2c2-w03-r6-20260901t165407z,0,candidate-first,291083,303833
physical-m4-f6aa2c2-w03-r6-20260901t165407z,1,base-first,502125,297250
physical-m4-f6aa2c2-w04-r1-20260901t165407z,0,base-first,273750,267708
physical-m4-f6aa2c2-w04-r1-20260901t165407z,1,candidate-first,301166,514334
physical-m4-f6aa2c2-w04-r2-20260901t165407z,0,candidate-first,320792,735791
physical-m4-f6aa2c2-w04-r2-20260901t165407z,1,base-first,299000,318750
physical-m4-f6aa2c2-w04-r3-20260901t165407z,0,base-first,282958,296333
physical-m4-f6aa2c2-w04-r3-20260901t165407z,1,candidate-first,327708,290333
physical-m4-f6aa2c2-w04-r4-20260901t165407z,0,base-first,332000,290584
physical-m4-f6aa2c2-w04-r4-20260901t165407z,1,candidate-first,280833,289084
physical-m4-f6aa2c2-w04-r5-20260901t165407z,0,candidate-first,287667,322958
physical-m4-f6aa2c2-w04-r5-20260901t165407z,1,base-first,311084,292041
physical-m4-f6aa2c2-w04-r6-20260901t165407z,0,base-first,290708,289750
physical-m4-f6aa2c2-w04-r6-20260901t165407z,1,candidate-first,281375,946208
