run_id,pair_index,order,base,candidate
physical-m4-f6aa2c2-1788238552,0,base-first,1161500,223000
physical-m4-f6aa2c2-1788238552,1,candidate-first,284666,296666
physical-m4-f6aa2c2-w02-r1-20260901t165407z,0,base-first,299708,254500
physical-m4-f6aa2c2-w02-r1-20260901t165407z,1,candidate-first,285291,271792
physical-m4-f6aa2c2-w02-r2-20260901t165407z,0,candidate-first,300791,276750
physical-m4-f6aa2c2-w02-r2-20260901t165407z,1,base-first,298625,288875
physical-m4-f6aa2c2-w02-r3-20260901t165407z,0,base-first,312708,253833
physical-m4-f6aa2c2-w02-r3-20260901t165407z,1,candidate-first,278292,270208
physical-m4-f6aa2c2-w02-r4-20260901t165407z,0,candidate-first,284542,287500
physical-m4-f6aa2c2-w02-r4-20260901t165407z,1,base-first,314417,246417
physical-m4-f6aa2c2-w02-r5-20260901t165407z,0,candidate-first,315458,252791
physical-m4-f6aa2c2-w02-r5-20260901t165407z,1,base-first,292375,236334
physical-m4-f6aa2c2-w02-r6-20260901t165407z,0,candidate-first,288625,253750
physical-m4-f6aa2c2-w02-r6-20260901t165407z,1,base-first,298625,269167
physical-m4-f6aa2c2-w02-r7-20260901t165407z,0,base-first,305792,296709
physical-m4-f6aa2c2-w02-r7-20260901t165407z,1,candidate-first,309834,259084
physical-m4-f6aa2c2-w03-r1-20260901t165407z,0,candidate-first,311792,268750
physical-m4-f6aa2c2-w03-r1-20260901t165407z,1,base-first,274584,283125
physical-m4-f6aa2c2-w03-r2-20260901t165407z,0,base-first,320000,216000
physical-m4-f6aa2c2-w03-r2-20260901t165407z,1,candidate-first,295750,267334
physical-m4-f6aa2c2-w03-r3-20260901t165407z,0,candidate-first,558542,348500
physical-m4-f6aa2c2-w03-r3-20260901t165407z,1,base-first,316292,278250
physical-m4-f6aa2c2-w03-r4-20260901t165407z,0,candidate-first,289167,260000
physical-m4-f6aa2c2-w03-r4-20260901t165407z,1,base-first,265542,258667
physical-m4-f6aa2c2-w03-r5-20260901t165407z,0,base-first,288250,272917
physical-m4-f6aa2c2-w03-r5-20260901t165407z,1,candidate-first,291125,242292
physical-m4-f6aa2c2-w03-r6-20260901t165407z,0,candidate-first,268875,367708
physical-m4-f6aa2c2-w03-r6-20260901t165407z,1,base-first,295541,242917
physical-m4-f6aa2c2-w04-r1-20260901t165407z,0,candidate-first,464833,290292
physical-m4-f6aa2c2-w04-r1-20260901t165407z,1,base-first,299833,275875
physical-m4-f6aa2c2-w04-r2-20260901t165407z,0,base-first,488125,276209
physical-m4-f6aa2c2-w04-r2-20260901t165407z,1,candidate-first,499750,280625
physical-m4-f6aa2c2-w04-r3-20260901t165407z,0,candidate-first,330625,286917
physical-m4-f6aa2c2-w04-r3-20260901t165407z,1,base-first,300292,331708
physical-m4-f6aa2c2-w04-r4-20260901t165407z,0,base-first,298584,271250
physical-m4-f6aa2c2-w04-r4-20260901t165407z,1,candidate-first,297417,260125
physical-m4-f6aa2c2-w04-r5-20260901t165407z,0,candidate-first,291125,276917
physical-m4-f6aa2c2-w04-r5-20260901t165407z,1,base-first,296292,460916
physical-m4-f6aa2c2-w04-r6-20260901t165407z,0,candidate-first,285042,288167
physical-m4-f6aa2c2-w04-r6-20260901t165407z,1,base-first,329834,240375
