run_id,pair_index,order,base,candidate
physical-m4-f6aa2c2-1788238552,0,base-first,411709,278791
physical-m4-f6aa2c2-1788238552,1,candidate-first,317000,282875
physical-m4-f6aa2c2-w02-r1-20260901t165407z,0,base-first,471042,278125
physical-m4-f6aa2c2-w02-r1-20260901t165407z,1,candidate-first,629583,261834
physical-m4-f6aa2c2-w02-r2-20260901t165407z,0,candidate-first,270500,252000
physical-m4-f6aa2c2-w02-r2-20260901t165407z,1,base-first,458167,317083
physical-m4-f6aa2c2-w02-r3-20260901t165407z,0,candidate-first,530375,256000
physical-m4-f6aa2c2-w02-r3-20260901t165407z,1,base-first,287375,318041
physical-m4-f6aa2c2-w02-r4-20260901t165407z,0,base-first,280250,279084
physical-m4-f6aa2c2-w02-r4-20260901t165407z,1,candidate-first,571292,264417
physical-m4-f6aa2c2-w02-r5-20260901t165407z,0,base-first,495292,257666
physical-m4-f6aa2c2-w02-r5-20260901t165407z,1,candidate-first,348916,271084
physical-m4-f6aa2c2-w02-r6-20260901t165407z,0,base-first,263875,436666
physical-m4-f6aa2c2-w02-r6-20260901t165407z,1,candidate-first,251292,382041
physical-m4-f6aa2c2-w02-r7-20260901t165407z,0,base-first,530916,256833
physical-m4-f6aa2c2-w02-r7-20260901t165407z,1,candidate-first,254792,475083
physical-m4-f6aa2c2-w03-r1-20260901t165407z,0,base-first,268625,252042
physical-m4-f6aa2c2-w03-r1-20260901t165407z,1,candidate-first,286500,502500
physical-m4-f6aa2c2-w03-r2-20260901t165407z,0,candidate-first,261167,251792
physical-m4-f6aa2c2-w03-r2-20260901t165407z,1,base-first,273792,255083
physical-m4-f6aa2c2-w03-r3-20260901t165407z,0,base-first,265750,269791
physical-m4-f6aa2c2-w03-r3-20260901t165407z,1,candidate-first,299292,257000
physical-m4-f6aa2c2-w03-r4-20260901t165407z,0,base-first,239625,280458
physical-m4-f6aa2c2-w03-r4-20260901t165407z,1,candidate-first,253542,282583
physical-m4-f6aa2c2-w03-r5-20260901t165407z,0,base-first,308250,1121333
physical-m4-f6aa2c2-w03-r5-20260901t165407z,1,candidate-first,251500,289500
physical-m4-f6aa2c2-w03-r6-20260901t165407z,0,base-first,292333,281541
physical-m4-f6aa2c2-w03-r6-20260901t165407z,1,candidate-first,274208,485125
physical-m4-f6aa2c2-w04-r1-20260901t165407z,0,base-first,261750,260541
physical-m4-f6aa2c2-w04-r1-20260901t165407z,1,candidate-first,567916,258417
physical-m4-f6aa2c2-w04-r2-20260901t165407z,0,candidate-first,294167,277000
physical-m4-f6aa2c2-w04-r2-20260901t165407z,1,base-first,417375,261500
physical-m4-f6aa2c2-w04-r3-20260901t165407z,0,base-first,272292,406875
physical-m4-f6aa2c2-w04-r3-20260901t165407z,1,candidate-first,255375,270000
physical-m4-f6aa2c2-w04-r4-20260901t165407z,0,candidate-first,269333,266792
physical-m4-f6aa2c2-w04-r4-20260901t165407z,1,base-first,311083,285292
physical-m4-f6aa2c2-w04-r5-20260901t165407z,0,base-first,250708,264000
physical-m4-f6aa2c2-w04-r5-20260901t165407z,1,candidate-first,287541,261208
physical-m4-f6aa2c2-w04-r6-20260901t165407z,0,candidate-first,413917,252541
physical-m4-f6aa2c2-w04-r6-20260901t165407z,1,base-first,260583,348458
